,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
1924,三民區,房地(土地+建物)+車位,高雄市三民區重慶街３６０號十二樓之１,7.16,商,,,1101224,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100930,78.51,2,1,1,有,有,6500000,82792,塔式車位,13.05,0,,RPWNMLLMLHHGFDE18DA,38.16,0.0,3.65,有,
1926,三民區,房地(土地+建物)+車位,高雄市三民區德興街１號三樓,18.32,住,,,1110223,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100630,115.28,2,2,2,有,有,12700000,110167,坡道機械,6.6,0,,RPPNMLTLLHHGFDE18DA,60.52,5.72,4.24,有,208.0
1927,三民區,房地(土地+建物)+車位,高雄市三民區大連街３７７號九樓,21.15,住,,,1110223,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100722,188.6,3,2,2,有,有,17800000,94380,坡道平面,21.3,0,,RPOOMLSLLHHGFDE08DA,84.6,0.0,22.36,有,209.0
1928,三民區,房地(土地+建物)+車位,高雄市三民區北安街９２號二樓,17.34,住,,,1110305,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101020,142.20999999999998,2,2,2,有,有,11880000,83538,坡道平面,28.98,0,,RPUOMLSLLHHGFDE68DA,61.24,6.39,4.26,有,210.0
1929,三民區,房地(土地+建物),高雄市三民區十全三路６號六樓之３,7.42,住,,,1110302,土地2建物1車位0,六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100726,78.92,2,2,1,有,有,7280000,92245,,0.0,0,,RPTNMLLKLHHGFDE67DA,41.32,1.73,8.35,有,211.0
1930,三民區,房地(土地+建物)+車位,高雄市三民區鼎新路３３號七樓之３,13.82,商,,,1110226,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000322,133.70999999999998,3,1,2,有,有,8900000,66562,升降機械,9.96,0,,RPRNMLMLLHHGFDE67DA,77.07,0.36,9.34,有,
1931,三民區,房地(土地+建物),高雄市三民區大連街３６６號七樓之３,4.3,住,,,1110225,土地1建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970116,35.69,1,1,1,有,有,3430000,96105,,0.0,0,含裝潢費；含傢俱設備費；陽台外推；,RPSPMLRKLHHGFDE38DA,18.58,0.0,3.3,有,212.0
1937,前鎮區,房地(土地+建物),高雄市前鎮區新光路２１號十四樓之７,1.28,商,,,1110314,土地2建物1車位0,十四層,三十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0880209,41.25,1,1,1,有,有,2940000,71273,,0.0,0,含傢俱設備費；,RPWNMLLJMHHGFCE87DA,25.02,0.0,3.24,有,
1942,小港區,房地(土地+建物)+車位,高雄市小港區廈莊三街１２７號八樓,13.01,商,,,1110212,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030407,145.94,3,2,2,有,有,9610000,65849,坡道平面,19.47,0,,RPWOMLOKLHHGFCE28DA,70.48,4.28,9.29,有,217.0
1943,前鎮區,房地(土地+建物),高雄市前鎮區中山二路１９０號十二樓,5.94,商,,,1110220,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000125,76.97999999999999,2,1,1,有,有,7400000,96129,,0.0,0,含裝潢費；含傢俱設備費；,RPSNMLPKLHHGFCE87DA,42.95,1.62,5.48,有,218.0
1949,苓雅區,房地(土地+建物),高雄市苓雅區輔仁路５號十二樓,7.42,商,,,1090704,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,95.35,2,1,2,有,有,6920000,72575,,0.0,0,預售屋、或土地及建物分件登記案件；,RPOQMLLMLHHGFBE47DA,52.56,0.0,12.13,有,
1954,苓雅區,房地(土地+建物)+車位,高雄市苓雅區自強三路１７７號八樓之５,4.26,商,,,1110311,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970919,63.61,1,1,1,有,有,5200000,81748,升降機械,16.41,0,含傢俱設備費；陽台外推；,RPUPMLRJMHHGFBE38DA,27.68,2.78,0.0,有,220.0
1956,苓雅區,房地(土地+建物)+車位,高雄市苓雅區輔仁路３號五樓,9.94,商,,,1090715,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,127.88,3,2,2,有,有,8500000,65129,塔式車位,14.26,1100000,預售屋、或土地及建物分件登記案件；,RPPNMLLMLHHGFBE27DA,67.98,0.0,9.21,有,
1958,苓雅區,房地(土地+建物)+車位,高雄市苓雅區輔仁路５號六樓,8.55,商,,,1090612,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,109.61,2,1,2,有,有,7100000,62926,塔式車位,14.26,1100000,預售屋、或土地及建物分件登記案件；,RPVNMLLMLHHGFBE87DA,52.56,0.0,12.13,有,
1959,苓雅區,房地(土地+建物)+車位,高雄市苓雅區三多一路６６號十四樓,9.75,商,,,1091009,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,125.34,3,2,2,有,有,9200000,72470,塔式車位,14.26,1150000,預售屋、或土地及建物分件登記案件；,RPXNMLLMLHHGFBE08DA,67.31,0.0,7.95,有,
1960,苓雅區,房地(土地+建物)+車位,高雄市苓雅區三多一路６８號十四樓,10.57,商,,,1100510,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,135.81,3,2,2,有,有,9920000,72151,塔式車位,14.26,1150000,預售屋、或土地及建物分件登記案件；,RPPOMLLMLHHGFBE37DA,73.63,0.0,8.76,有,
1961,苓雅區,房地(土地+建物)+車位,高雄市苓雅區三多一路６８號八樓,10.57,商,,,1100112,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,135.81,3,2,2,有,有,9400000,68285,塔式車位,14.26,1100000,預售屋、或土地及建物分件登記案件；,RPQOMLLMLHHGFBE47DA,73.63,0.0,8.76,有,
1962,苓雅區,房地(土地+建物)+車位,高雄市苓雅區三多一路６６號九樓,9.75,商,,,1090401,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,125.34,3,2,2,有,有,8560000,67159,塔式車位,14.26,1100000,預售屋、或土地及建物分件登記案件；,RPROMLLMLHHGFBE57DA,67.31,0.0,7.95,有,
1963,苓雅區,房地(土地+建物)+車位,高雄市苓雅區三多一路６６號十一樓,9.75,商,,,1090607,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,125.34,3,2,2,有,有,8760000,68959,塔式車位,14.26,1100000,預售屋、或土地及建物分件登記案件；,RPVOMLLMLHHGFBE97DA,67.31,0.0,7.95,有,
1964,苓雅區,房地(土地+建物)+車位,高雄市苓雅區三多一路６６號十二樓,9.75,商,,,1090930,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,125.34,3,2,2,有,有,8960000,70760,塔式車位,14.26,1100000,本案有轉讓，讓渡金額為925萬元整。預售屋、或土地及建物分件登記案件；,RPWOMLLMLHHGFBE08DA,67.31,0.0,7.95,有,
1965,苓雅區,房地(土地+建物),高雄市苓雅區輔仁路１號二樓,5.91,商,,,1090304,土地1建物1車位0,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,76.0,0,0,0,無,有,5480000,72105,,0.0,0,預售屋、或土地及建物分件登記案件；,RPPPMLLMLHHGFBE47DA,46.12,0.0,5.29,有,
1966,苓雅區,房地(土地+建物),高雄市苓雅區輔仁路３號十一樓,8.81,商,,,1090802,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,113.61,3,2,2,有,有,8460000,74465,,0.0,0,預售屋、或土地及建物分件登記案件；,RPQPMLLMLHHGFBE57DA,67.98,0.0,9.21,有,
1967,苓雅區,房地(土地+建物),高雄市苓雅區輔仁路３號九樓,8.81,商,,,1090704,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,113.61,3,2,2,有,有,8280000,72881,,0.0,0,預售屋、或土地及建物分件登記案件；,RPSPMLLMLHHGFBE77DA,67.98,0.0,9.21,有,
1968,苓雅區,房地(土地+建物)+車位,高雄市苓雅區輔仁路３號十四樓,9.94,商,,,1090207,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,127.88,3,2,2,有,有,9300000,73227,塔式車位,14.26,980000,預售屋、或土地及建物分件登記案件；,RPUPMLLMLHHGFBE97DA,67.98,0.0,9.21,有,
1969,苓雅區,房地(土地+建物)+車位,高雄市苓雅區輔仁路５號九樓,8.55,商,,,1090320,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,109.61,2,1,2,有,有,7300000,65024,塔式車位,14.26,1100000,預售屋、或土地及建物分件登記案件；,RPVPMLLMLHHGFBE08DA,52.56,0.0,12.13,有,
1970,苓雅區,房地(土地+建物)+車位,高雄市苓雅區三多一路６６號四樓,9.75,商,,,1090229,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,125.34,3,2,2,有,有,8800000,69319,塔式車位,14.26,1100000,預售屋、或土地及建物分件登記案件；,RPXOMLKMLHHGFBE08DA,67.31,0.0,7.95,有,
1972,苓雅區,房地(土地+建物)+車位,高雄市苓雅區三多一路６６號八樓,9.75,商,,,1090322,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,125.34,3,2,2,有,有,8600000,67519,塔式車位,14.26,1100000,預售屋、或土地及建物分件登記案件；,RPORMLKMLHHGFBE47DA,67.31,0.0,7.95,有,
1973,苓雅區,房地(土地+建物),高雄市苓雅區輔仁路３號三樓,8.81,商,,,1090803,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,113.61,3,2,2,有,有,7900000,69536,,0.0,0,預售屋、或土地及建物分件登記案件；,RPTQMLKMLHHGFBE87DA,67.98,0.0,9.21,有,
1974,苓雅區,房地(土地+建物)+車位,高雄市苓雅區三多一路６６號十樓,9.75,商,,,1090927,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,125.34,3,2,2,有,有,8780000,69139,塔式車位,14.26,1100000,預售屋、或土地及建物分件登記案件；,RPVQMLKMLHHGFBE08DA,67.31,0.0,7.95,有,
1976,苓雅區,房地(土地+建物)+車位,高雄市苓雅區三多一路６８號五樓,10.57,商,,,1091113,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,135.81,3,2,2,有,有,9260000,66722,塔式車位,14.26,1150000,預售屋、或土地及建物分件登記案件；,RPXNMLKMLHHGFBE97DA,73.63,0.0,8.76,有,
1977,苓雅區,房地(土地+建物)+車位,高雄市苓雅區三多一路６６號二樓,9.37,商,,,1091011,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,122.26,3,2,2,有,有,8500000,68056,塔式車位,14.26,1150000,預售屋、或土地及建物分件登記案件；,RPSOMLKMLHHGFBE57DA,67.31,0.0,6.39,有,
1978,苓雅區,房地(土地+建物)+車位,高雄市苓雅區三多一路６８號三樓,10.57,商,,,1101008,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110127,135.81,3,2,2,有,有,9280000,66886,塔式車位,14.26,1150000,預售屋、或土地及建物分件登記案件；,RPROMLLLLHHGFBE47DA,73.63,0.0,8.76,有,
1979,苓雅區,房地(土地+建物)+車位,高雄市苓雅區和平一路７６號八樓之１,23.09,都市：其他:第二種特定商業專用區,,,1110210,土地2建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940428,240.7,4,2,2,有,有,20080000,83423,坡道平面,13.94,0,含裝潢費；含傢俱設備費；,RPQNMLMLLHHGFBE37DA,147.61,5.07,12.04,有,
2000,苓雅區,房地(土地+建物),高雄市苓雅區七賢一路１２１號六樓之１３,5.12,商,,,1110210,土地1建物1車位0,六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造、鋼骨鋼筋混凝土構造、鋼筋混凝土構造,1070911,95.03,2,1,1,有,有,7610000,80080,,0.0,0,,RPTNMLNJLHHGFBE57DA,48.09,3.29,10.55,有,237.0
2002,新興區,房地(土地+建物)+車位,高雄市新興區同心路２５號四樓之１,29.16,商,,,1110130,土地2建物1車位1,四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981005,386.75,5,2,4,有,有,28000000,72398,坡道平面,22.44,0,,RPRPMLTJKHHGFBE08DA,226.79,0.0,21.08,有,238.0
2009,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東四路４４９號八樓,17.82,住,,,1110222,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941114,124.19,2,2,1,有,無,11000000,88574,坡道平面,24.25,0,含傢俱設備費；,RPSPMLSKLHHGFAE18DA,58.88,0.0,10.39,無,
2010,鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍勝路２８７號十八樓,27.11,商,,,1110218,土地1建物1車位2,十八層,三十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,1040915,473.44000000000005,3,2,4,有,有,38000000,80264,坡道平面,39.5,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLOLLHHGFAE57DA,231.21,4.37,51.02,有,241.0
2011,鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術南二路４６號八樓之１,11.12,住,,,1110304,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971021,85.31,2,2,1,有,有,8580000,100574,坡道機械,7.13,0,,RPWPMLOKLHHGFAE18DA,47.01,1.84,3.19,有,242.0
2012,前金區,房地(土地+建物),高雄市前金區七賢二路１５７號十三樓之９,2.73,商,,,1110219,土地1建物1車位0,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851002,39.81,1,1,1,有,有,2450000,61542,,0.0,0,,RPQPMLRJLHHGFAE77DA,27.59,3.0,0.0,有,
2016,土城區,房地(土地+建物)+車位,新北市土城區學府路二段２６９號二樓,19.75,住,,,1071007,土地1建物1車位2,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101102,161.04,2,2,1,有,有,16130000,120188,坡道平面,58.7,3830000,預售屋、或土地及建物分件登記案件；,RPOQMLOJLHHGFAF47DA,61.4,0.0,4.9,有,
2017,土城區,房地(土地+建物)+車位,新北市土城區學府路二段２６９號十二樓,17.89,住,,,1081214,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101102,134.42000000000002,2,2,1,有,有,14650000,121348,坡道平面,29.35,1900000,預售屋、或土地及建物分件登記案件；,RPRQMLOJLHHGFAF77DA,61.4,3.56,4.07,有,
2018,土城區,房地(土地+建物)+車位,新北市土城區學府路二段２７３號二樓,14.39,住,,,1080324,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101102,111.1,2,2,1,有,有,11550000,118043,坡道平面,29.35,1900000,預售屋、或土地及建物分件登記案件；,RPUQMLOJLHHGFAF08DA,48.81,0.0,4.24,有,
2019,土城區,房地(土地+建物)+車位,新北市土城區學府路二段２７３號三樓,14.9,住,,,1070712,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101102,114.74,2,2,1,有,有,11650000,115353,坡道平面,29.35,1800000,預售屋、或土地及建物分件登記案件；,RPVQMLOJLHHGFAF18DA,48.81,3.64,4.24,有,
2020,土城區,房地(土地+建物)+車位,新北市土城區學府路二段２７３號十樓,14.86,住,,,1080406,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101102,114.02,2,2,1,有,有,12220000,119523,坡道平面,29.35,2100000,預售屋、或土地及建物分件登記案件；,RPWQMLOJLHHGFAF28DA,48.81,3.64,3.52,有,
2021,土城區,房地(土地+建物)+車位,新北市土城區學府路二段２７３號四樓,14.86,住,,,1080324,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101102,114.02,2,2,1,有,有,11610000,114681,坡道平面,29.35,1900000,預售屋、或土地及建物分件登記案件；,RPXQMLOJLHHGFAF38DA,48.81,3.64,3.52,有,
2022,土城區,房地(土地+建物)+車位,新北市土城區學府路二段２７５號二樓,17.42,住,,,1071227,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101102,131.69,2,2,1,有,有,14020000,118429,坡道平面,29.35,1900000,預售屋、或土地及建物分件登記案件；,RPQRMLOJLHHGFAF77DA,61.4,0.0,4.9,有,
2026,板橋區,房地(土地+建物),新北市板橋區中正路３３６號四樓之三,16.83,住,,,1110304,土地1建物1車位0,四層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830531,116.57,3,2,2,有,有,16350000,140259,,0.0,0,,RPPNMLKKLHHGFAF96DA,79.46,0.86,11.95,有,
2027,板橋區,房地(土地+建物)+車位,新北市板橋區重慶路２４５巷９弄１號二樓,19.92,住,,,1110227,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010612,145.71,3,2,2,有,有,21700000,151687,升降機械,13.2,1600000,其他增建；,RPVNMLKKLHHGFAF57DA,80.65,3.56,12.05,有,1.0
2029,板橋區,房地(土地+建物),新北市板橋區重慶路２４７號五樓之一,12.55,,,,1110213,土地1建物1車位0,五層,三十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0811208,186.45,4,2,2,有,有,22200000,119067,,0.0,0,,RPPOMLPKLHHGFAF57DA,157.97,0.0,14.09,有,
2030,土城區,房地(土地+建物),新北市土城區中央路三段１８３之７號四樓,12.94,,,,1110215,土地4建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940120,119.03,3,2,2,有,有,11880000,99807,,0.0,0,陽台外推；,RPVRMLQKLHHGFAF58DA,74.95,0.0,10.5,有,
2034,板橋區,房地(土地+建物)+車位,新北市板橋區忠孝路１９６巷１０號十二樓,16.57,住,,,1110115,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100324,146.17000000000002,2,2,2,有,無,23280000,186687,坡道平面,36.2,2750000,本案尚未成立管理委員會。含裝潢費；預售屋、或土地及建物分件登記案件；,RPVQMLPLLHHGFAF48DA,62.56,6.37,3.77,有,
2036,板橋區,房地(土地+建物),新北市板橋區光環路二段５８號十二樓,14.04,住,,,1101206,土地1建物1車位0,十二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1071213,99.72,2,2,2,有,有,17300000,173486,,0.0,0,,RPWNMLOLLHHGFAF18DA,56.96,2.6,6.07,有,2.0
2037,板橋區,房地(土地+建物),新北市板橋區三民路二段３５巷１７號十二樓,13.12,住,,,1110309,土地1建物1車位0,十二層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810305,164.29999999999998,3,2,2,有,有,24090000,146622,,0.0,0,,RPWPMLSLLHHGFAF78DA,133.83,1.38,15.74,有,
2038,板橋區,房地(土地+建物)+車位,新北市板橋區新府路１００號二十樓,4.97,都市：其他:第二種特定專用區,,,1110313,土地1建物1車位1,二十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971119,79.61,1,1,1,有,有,12680000,159276,坡道平面,31.02,0,夾層；,RPRQMLSLLHHGFAF38DA,28.93,0.0,2.35,有,
2039,板橋區,房地(土地+建物)+車位,新北市板橋區華江一路３９６號十一樓,18.67,住,,,1100320,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110127,151.81,2,2,2,有,有,22280000,163556,坡道平面,29.65,2300000,賣方補貼買方坪差金額70030元。,RPORMLSLLHHGFAF18DA,67.7,10.03,3.05,有,
2049,土城區,房地(土地+建物)+車位,新北市土城區中央路二段６１巷１１號二十五樓,23.31,商,,,1110221,土地1建物1車位1,二十五層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061213,157.91,3,2,2,有,有,23040000,145906,坡道平面,32.48,0,,RPXPMLKMLHHGFAF18DA,77.76,3.12,8.59,有,5.0
2051,五股區,房地(土地+建物)+車位,新北市五股區新城八路２４９號四樓,14.87,住,,,1090922,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110125,122.12,3,2,2,有,有,10700000,87619,坡道平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPWPMLQLJHHGFBF48DA,52.42,3.61,6.63,有,
2052,五股區,房地(土地+建物)+車位,新北市五股區新城八路２５１號十二樓,18.19,住,,,1090610,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110125,149.14,3,2,3,有,有,12600000,84484,坡道平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPOSMLQLJHHGFBF97DA,63.5,6.61,6.9,有,
2053,五股區,房地(土地+建物)+車位,新北市五股區新城八路２５３號六樓,12.13,住,,,1081020,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110125,104.57,3,2,1,有,有,9200000,87979,坡道平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPTSMLQLJHHGFBF48DA,43.97,3.42,3.41,有,
2054,五股區,房地(土地+建物)+車位,新北市五股區新城八路２５５號四樓,12.69,住,,,1100102,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110125,105.77,3,2,1,有,有,10300000,97381,坡道平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPWTMLQLJHHGFBF88DA,45.29,3.79,4.15,有,
2055,五股區,房地(土地+建物)+車位,新北市五股區新城八路２５７號十四樓,15.76,住,,,1100413,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110125,127.85,3,2,2,有,有,12820000,100274,坡道平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPQWMLQLJHHGFBF58DA,54.73,5.46,6.33,有,
2056,五股區,房地(土地+建物)+車位,新北市五股區新城八路２５７號十五樓,15.76,住,,,1100508,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110125,130.48,3,2,2,有,有,14180000,108676,坡道平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPRWMLQLJHHGFBF68DA,54.73,5.46,6.33,有,
2057,五股區,房地(土地+建物)+車位,新北市五股區新城八路２５９號五樓,14.3,住,,,1081005,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110125,116.07,3,2,2,有,有,9950000,85724,坡道平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPTWMLQLJHHGFBF88DA,50.02,3.61,6.57,有,
2058,五股區,房地(土地+建物)+車位,新北市五股區新城八路２７３號五樓,18.09,住,,,1090603,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110125,142.8,3,2,3,有,有,12560000,87955,坡道平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPVSNLQLJHHGFBF78DA,63.47,6.24,6.9,有,
2059,林口區,房地(土地+建物)+車位,新北市林口區文化三路一段７１號五樓,46.43,住,,,1110120,土地1建物1車位2,五層,四十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,1090806,418.33,0,0,0,無,有,48580000,118016,坡道平面,42.28,4200000,毛胚屋；,RPWQMLOLJHHGFBF38DA,209.64,15.56,18.19,有,
2067,林口區,房地(土地+建物)+車位,新北市林口區民族路９８號十三樓,11.08,住,,,1101228,土地1建物1車位1,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100413,102.46000000000001,1,2,1,有,有,10460000,127333,坡道平面,36.02,2000000,,RPWOMLLKKHHGFBF87DA,37.24,2.43,4.2,有,
2071,林口區,房地(土地+建物)+車位,新北市林口區中北二街３８號三樓,32.92,住,,,1100922,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110128,146.19,3,2,2,有,有,11500000,84284,坡道平面,30.51,1750000,預售屋、或土地及建物分件登記案件；,RPTRMLOLKHHGFBF28DA,68.98,0.0,8.56,有,
2075,林口區,房地(土地+建物)+車位,新北市林口區民族路１１６號三樓,14.16,住,,,1110223,土地1建物1車位1,三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100413,120.61,2,2,1,有,有,12290000,124010,坡道平面,36.02,1800000,,RPRTMLNJLHHGFBF08DA,49.6,3.08,3.18,有,
2076,林口區,房地(土地+建物)+車位,新北市林口區民族路１２６號四樓,18.77,住,,,1110222,土地1建物1車位1,四層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100413,149.89,3,2,2,有,有,16300000,126460,坡道平面,36.02,1900000,,RPSTMLNJLHHGFBF18DA,67.93,3.72,3.52,有,
2078,五股區,房地(土地+建物)+車位,新北市五股區成洲五路３０號十八樓,37.5,住,,,1110305,土地1建物1車位1,十八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040903,219.86,3,2,2,有,有,22800000,112390,坡道平面,33.01,1800000,,RPQRMLTJLHHGFBF38DA,109.55,7.98,11.1,有,6.0
2079,新莊區,房地(土地+建物)+車位,新北市新莊區中港路１５７號十九樓,13.3,住,,,1110224,土地3建物1車位1,十九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080611,126.53999999999999,2,2,1,有,有,17380000,165897,坡道平面,35.64,2300000,,RPRSMLTJLHHGFBF58DA,50.27,4.35,3.96,有,
2080,林口區,房地(土地+建物)+車位,新北市林口區文化三路一段５７１號十二樓,15.8,住,,,1110216,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950314,124.69999999999999,3,2,2,有,有,12800000,102646,升降機械,20.04,0,其他增建；,RPOOMLKKLHHGFBF07DA,64.93,1.36,10.01,有,7.0
2081,林口區,房地(土地+建物),新北市林口區三民路２６號二十二樓之一,14.18,住,,,1110306,土地1建物1車位0,二十二層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061117,103.53,2,2,1,有,有,15300000,147783,,0.0,0,,RPVPMLKKLHHGFBF87DA,58.96,5.85,4.26,有,8.0
